workload,input_tokens_target,output_tokens_target,frequency_mhz,repeat_idx,duration_s,ttft_s,tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,tpj,input_tokens_actual,output_tokens_actual,total_tokens_actual,concurrency,backlog_requests,finished_requests,slo_s,slo_met
SS,64,64,750,1,6.559,1.3288,0.081722,94.28,130.76,622.1197,624.4854398536362,0.1518846923828125,6.583942,4160,4096,8256,16,64,64,8.0,1
SS,64,64,750,2,6.5418,1.3167,0.081641,94.29,129.88,621.4911,626.1273655568804,0.1517312255859375,6.590601,4160,4096,8256,16,64,64,8.0,1
SS,64,64,750,3,6.5416,1.3138,0.081684,94.55,131.24,622.7409,626.1465084994497,0.1520363525390625,6.577374,4160,4096,8256,16,64,64,8.0,1
SL,64,512,750,1,56.5831,1.3127,0.10795,79.88,129.96,4525.1774,579.1128446479603,0.13809745483398436,7.241263,4160,32768,36928,16,64,64,8.0,0
SL,64,512,750,2,56.5754,1.3157,0.107929,80.15,131.64,4539.4902,579.1916628075099,0.13853424682617188,7.218432,4160,32768,36928,16,64,64,8.0,0
SL,64,512,750,3,56.5647,1.3168,0.107906,80.22,131.33,4542.3369,579.3012249689293,0.13862112121582032,7.213908,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,750,1,42.9759,21.234,0.339716,87.12,137.05,3770.5996,95.30923145297713,0.92055654296875,1.086299,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,750,2,42.9207,21.1832,0.339648,87.32,137.53,3768.649,95.4318079621255,0.920080322265625,1.086862,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,750,3,42.962,21.234,0.339501,87.25,137.53,3771.2561,95.34006796704064,0.9207168212890625,1.08611,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,750,1,156.1697,21.2309,0.263552,73.06,136.65,11444.9196,209.82303225273532,0.3492712280273437,2.863104,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,750,2,156.1161,21.1777,0.263551,72.89,136.56,11412.9883,209.89507168062744,0.34829676208496096,2.871115,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,750,3,156.1327,21.1844,0.263571,72.96,137.05,11420.4929,209.87275567514044,0.3485257843017578,2.869228,65600,32768,98368,16,64,64,8.0,0
SS,64,64,800,1,6.0836,1.2228,0.07595,100.19,138.59,612.5287,673.2855546058255,0.1495431396484375,6.687034,4160,4096,8256,16,64,64,8.0,1
SS,64,64,800,2,6.0747,1.2159,0.075918,100.39,138.5,613.602,674.2719805093255,0.14980517578125,6.675337,4160,4096,8256,16,64,64,8.0,1
SS,64,64,800,3,6.0723,1.2163,0.075876,100.52,139.47,613.6686,674.5384780066861,0.149821435546875,6.674612,4160,4096,8256,16,64,64,8.0,1
SL,64,512,800,1,52.6288,1.2179,0.100412,84.53,138.98,4453.8059,622.6248745933785,0.13591936950683595,7.357303,4160,32768,36928,16,64,64,8.0,0
SL,64,512,800,2,52.6319,1.2175,0.100419,84.69,138.98,4462.0029,622.5882022119665,0.13616952209472657,7.343787,4160,32768,36928,16,64,64,8.0,0
SL,64,512,800,3,52.6105,1.2166,0.100379,84.81,138.98,4465.4387,622.841447999924,0.13627437438964843,7.338137,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,800,1,40.0316,19.775,0.31651,92.32,148.08,3712.9076,102.31916785739267,0.90647158203125,1.103179,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,800,2,40.0439,19.7844,0.316555,92.34,148.08,3714.1951,102.28773920622118,0.9067859130859375,1.102796,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,800,3,40.049,19.7878,0.316582,92.42,148.08,3717.4634,102.27471347599192,0.907583837890625,1.101827,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,800,1,145.6507,19.7712,0.245859,77.01,148.08,11239.012,224.97660498713702,0.3429874267578125,2.915559,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,800,2,145.5484,19.7376,0.245724,76.86,149.14,11215.0972,225.13473181429686,0.34225760498046875,2.921776,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,800,3,145.5989,19.7407,0.245817,76.84,149.04,11208.9198,225.05664534553492,0.34206908569335936,2.923386,65600,32768,98368,16,64,64,8.0,0
SS,64,64,850,1,5.7196,1.1465,0.071455,105.28,146.63,605.9951,716.1339953842927,0.1479480224609375,6.759131,4160,4096,8256,16,64,64,8.0,1
SS,64,64,850,2,5.7092,1.144,0.071332,105.56,146.14,606.9081,717.438520283052,0.1481709228515625,6.748962,4160,4096,8256,16,64,64,8.0,1
SS,64,64,850,3,5.7114,1.1442,0.071361,105.6,146.14,606.7908,717.1621668942815,0.14814228515625,6.750267,4160,4096,8256,16,64,64,8.0,1
SL,64,512,850,1,49.4503,1.1374,0.094361,88.55,147.11,4383.6398,662.6451204542743,0.13377807006835937,7.475067,4160,32768,36928,16,64,64,8.0,0
SL,64,512,850,2,49.4645,1.1445,0.094375,88.74,146.14,4393.105,662.454891892165,0.1340669250488281,7.458961,4160,32768,36928,16,64,64,8.0,0
SL,64,512,850,3,49.4255,1.1377,0.094312,88.81,147.11,4396.574,662.9776127707357,0.13417279052734374,7.453076,4160,32768,36928,16,64,64,8.0,0
LS,1024,64,850,1,37.5026,18.5331,0.296399,97.42,159.2,3667.3821,109.2190941428061,0.8953569580078125,1.116873,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,850,2,37.4796,18.5175,0.296282,97.7,158.61,3674.9291,109.28611831503005,0.8971994873046875,1.114579,65600,4096,69696,16,64,64,8.0,0
LS,1024,64,850,3,37.4982,18.5305,0.29637,97.69,160.06,3673.8797,109.231909798337,0.8969432861328125,1.114898,65600,4096,69696,16,64,64,8.0,0
LL,1024,512,850,1,136.2852,18.529,0.229993,80.92,159.58,11042.6515,240.43696600951534,0.33699497985839844,2.967403,65600,32768,98368,16,64,64,8.0,0
LL,1024,512,850,2,136.2881,18.5281,0.23,80.84,158.61,11033.0382,240.43184988271173,0.3367016052246094,2.969989,65600,32768,98368,16,64,64,8.0,0
