workload,input_tokens_target,output_tokens_target,frequency_mhz,slo_s,duration_s,ttft_s,tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,tpj,input_tokens_actual,output_tokens_actual,slo_met_rate
LL,1024,512,750,8.0,156.1395,21.197666666666667,0.263558,72.97,136.75333333333333,11426.133600000001,209.86361986950104,0.3486979248046875,2.8678156666666665,65600.0,32768.0,0.0
LL,1024,512,800,8.0,145.59933333333333,19.74983333333333,0.24580000000000002,76.90333333333334,148.75333333333333,11221.009666666667,225.05599404898962,0.34243803914388016,2.9202403333333335,65600.0,32768.0,0.0
LL,1024,512,850,8.0,136.2802,18.52156666666667,0.22999733333333336,80.83333333333333,158.80666666666667,11033.4277,240.44578852454174,0.33671349182128907,2.9698853333333335,65600.0,32768.0,0.0
LL,1024,512,900,8.0,128.4695,17.481533333333335,0.21677333333333335,85.75,170.49,11036.9666,255.06450421581758,0.3368214904785156,2.968932,65600.0,32768.0,0.0
LL,1024,512,950,8.0,122.5496,16.643266666666666,0.206848,95.00333333333333,190.89,11665.053966666666,267.3856153455319,0.35598919576009114,2.809075333333334,65600.0,32768.0,0.0
LL,1024,512,1000,8.0,116.27633333333334,15.719,0.19640100000000002,96.36333333333333,195.95666666666668,11236.749866666665,281.8116741161468,0.3429183919270833,2.916173,65600.0,32768.0,0.0
LL,1024,512,1050,8.0,111.38063333333334,15.057333333333332,0.18813133333333334,105.24333333333334,214.25,11761.5337,294.1984138781236,0.3589335235595703,2.786399,65600.0,32768.0,0.0
LL,1024,512,1100,8.0,107.19586666666667,14.483566666666666,0.1810786666666667,117.55333333333333,243.91666666666666,12651.912433333333,305.68343321191975,0.3861057261149088,2.589966,65600.0,32768.0,0.0
LL,1024,512,1150,8.0,102.0915,13.771799999999999,0.1724996666666667,127.50666666666666,266.1333333333333,13084.000533333334,320.966990949175,0.3992920084635417,2.5044603333333337,65600.0,32768.0,0.0
LL,1024,512,1200,8.0,98.65496666666667,13.295666666666667,0.16671733333333336,135.06333333333336,286.1,13390.383766666666,332.14765844461317,0.40864208272298175,2.448652,65600.0,32768.0,0.0
LL,1024,512,1250,8.0,95.43436666666666,12.851166666666666,0.16129533333333335,143.14666666666668,301.9733333333333,13735.409099999999,343.3564497205562,0.4191714202880859,2.385998333333333,65600.0,32768.0,0.0
LL,1024,512,1300,8.0,91.83466666666668,12.419833333333335,0.155107,155.94,306.4266666666667,14387.176633333334,356.8158297007187,0.4390617869059245,2.2780196666666668,65600.0,32768.0,0.0
LS,1024,64,750,8.0,42.952866666666665,21.217066666666668,0.33962166666666666,87.23,137.37,3770.1682333333333,95.36036912738109,0.9204512288411458,1.0864236666666667,65600.0,4096.0,0.0
LS,1024,64,800,8.0,40.0415,19.7824,0.31654899999999997,92.36,148.08,3714.8553666666667,102.29387351320192,0.9069471110026042,1.1026006666666666,65600.0,4096.0,0.0
LS,1024,64,850,8.0,37.49346666666667,18.527033333333332,0.2963503333333333,97.60333333333334,159.29,3672.063633333333,109.2457074187244,0.8964999104817708,1.11545,65600.0,4096.0,0.0
LS,1024,64,900,8.0,35.608666666666664,17.586233333333336,0.28160033333333334,101.94333333333333,166.5,3642.502933333333,115.02824530657624,0.8892829427083333,1.1245016666666665,65600.0,4096.0,0.0
LS,1024,64,950,8.0,33.7036,16.649766666666668,0.26646600000000004,113.38666666666666,187.43999999999997,3836.7562,121.53007500786028,0.936708056640625,1.067832,65600.0,4096.0,0.0
LS,1024,64,1000,8.0,31.903366666666667,15.7232,0.252815,117.95,194.42,3783.2411666666667,128.38770465072915,0.9236428629557292,1.08267,65600.0,4096.0,0.0
LS,1024,64,1050,8.0,30.5376,15.0715,0.241657,128.84,213.3166666666667,3961.0610333333334,134.12973258244025,0.9670559163411458,1.0342236666666667,65600.0,4096.0,0.0
LS,1024,64,1100,8.0,29.351533333333332,14.4839,0.23230766666666666,145.5533333333333,243.59666666666666,4306.4111,139.54988760777937,1.0513698974609376,0.9511413333333333,65600.0,4096.0,0.0
LS,1024,64,1150,8.0,27.92216666666667,13.778166666666666,0.22099966666666668,158.43333333333334,267.43333333333334,4464.686933333333,146.69350017057354,1.0900114583333333,0.9174333333333333,65600.0,4096.0,0.0
LS,1024,64,1200,8.0,26.974733333333333,13.292533333333333,0.21378466666666665,165.06,283.31333333333333,4498.413966666667,151.84582928154612,1.0982455973307292,0.9106446666666667,65600.0,4096.0,0.0
LS,1024,64,1250,8.0,26.068699999999996,12.854766666666668,0.2064676666666667,186.10333333333332,302.03999999999996,4901.594533333333,157.12330068416017,1.1966783528645832,0.8357886666666667,65600.0,4096.0,0.0
LS,1024,64,1300,8.0,25.14943333333333,12.443033333333332,0.19853766666666664,197.54666666666665,306.36,5018.0834,162.86650181803077,1.2251180175781249,0.8162533333333334,65600.0,4096.0,0.0
SL,64,512,750,8.0,56.574400000000004,1.3150666666666666,0.10792833333333333,80.08333333333333,130.97666666666666,4535.668166666666,579.2019108081332,0.13841760762532548,7.224534333333334,4160.0,32768.0,0.0
SL,64,512,800,8.0,52.62373333333333,1.2173333333333334,0.10040333333333333,84.67666666666666,138.98,4460.4158333333335,622.6848416017564,0.13612108866373693,7.346409,4160.0,32768.0,0.0
SL,64,512,850,8.0,49.44676666666667,1.1398666666666666,0.09434933333333334,88.7,146.78666666666666,4391.106266666667,662.692541705725,0.13400592854817703,7.462368000000001,4160.0,32768.0,0.0
SL,64,512,900,8.0,46.95256666666666,1.08,0.08959466666666667,92.31666666666666,153.84666666666666,4341.892866666666,697.8958219196751,0.13250405476888016,7.546944,4160.0,32768.0,0.0
SL,64,512,950,8.0,44.388299999999994,1.0208666666666666,0.08470166666666668,98.02333333333333,164.21333333333334,4357.069200000001,738.2126073824332,0.1329671997070312,7.5206653333333335,4160.0,32768.0,0.0
SL,64,512,1000,8.0,41.9388,0.9693333333333333,0.08001866666666667,105.75666666666666,179.87666666666667,4440.7042,781.3290166384371,0.1355195373535156,7.379018333333334,4160.0,32768.0,0.0
