phase,frequency_mhz,duration_s,ttft_s,tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,total_output_tokens,tpj,input_tokens,concurrency,backlog_requests,finished_requests,split_by,split_boundary_s,samples_in_phase
Prefill,700,15.2157,15.1813,0.0,95.57,130.05,1449.3923,2628.8642906560544,0.03623480687629342,0,27.5978,40000,16,64,64,timestamp_ttft,15.1813,197
Decode,700,226.1844,15.1813,0.22082,62.76,113.97,14197.9192,289.7459268254055,0.21664305433876507,65536,4.6159,40000,16,64,64,timestamp_ttft,15.1813,2970
Prefill,750,13.8318,13.8301,0.0,103.73,135.78,1432.8774,2891.886874716848,0.03582193435453654,0,27.9159,40000,16,64,64,timestamp_ttft,13.8301,179
Decode,750,208.6785,13.8301,0.203651,66.63,125.12,13906.2927,314.0524600089141,0.21219318698578354,65536,4.7127,40000,16,64,64,timestamp_ttft,13.8301,2740
Prefill,800,12.6809,12.6356,0.0,110.32,151.18,1396.5501,3154.3616178655147,0.03491375269341708,0,28.642,40000,16,64,64,timestamp_ttft,12.6356,164
Decode,800,193.35,12.6356,0.188745,70.38,135.87,13611.414,338.9501036332913,0.20769369567455948,65536,4.8148,40000,16,64,64,timestamp_ttft,12.6356,2538
Prefill,850,11.8948,11.8425,0.0,117.58,161.35,1398.4256,3362.827309657856,0.034960640802581315,0,28.6036,40000,16,64,64,timestamp_ttft,11.8425,153
Decode,850,181.4013,11.8425,0.177056,73.72,142.46,13379.8153,361.2762699568741,0.2041597793509282,65536,4.8981,40000,16,64,64,timestamp_ttft,11.8425,2381
Prefill,900,11.3009,11.2687,0.0,123.63,168.01,1395.0439,3539.5409695780236,0.034876097605435856,0,28.6729,40000,16,64,64,timestamp_ttft,11.2687,144
Decode,900,172.5773,11.2687,0.168436,76.19,149.24,13150.4429,379.7485839993368,0.20065983375949875,65536,4.9836,40000,16,64,64,timestamp_ttft,11.2687,2266
Prefill,950,10.7243,10.6548,0.0,130.65,172.85,1399.4123,3729.8638023874996,0.03498530661191106,0,28.5834,40000,16,64,64,timestamp_ttft,10.6548,135
Decode,950,163.2203,10.6548,0.159349,79.46,157.09,12972.0865,401.5187963535219,0.19793833091013582,65536,5.0521,40000,16,64,64,timestamp_ttft,10.6548,2143
Prefill,1000,10.096,10.0831,0.0,141.38,196.91,1428.3453,3961.9476745409365,0.03570863325222968,0,28.0044,40000,16,64,64,timestamp_ttft,10.0831,128
Decode,1000,153.8184,10.0831,0.150139,87.17,171.51,13409.2413,426.0608028642218,0.20460878398163548,65536,4.8874,40000,16,64,64,timestamp_ttft,10.0831,2020
Prefill,1050,9.7374,9.677,0.0,153.86,210.31,1497.5327,4107.85473120295,0.03743831670290231,0,26.7106,40000,16,64,64,timestamp_ttft,9.677,124
Decode,1050,147.5674,9.677,0.144043,92.98,186.28,13721.5228,444.10898739205084,0.20937382208173583,65536,4.7761,40000,16,64,64,timestamp_ttft,9.677,1938
Prefill,1100,9.3405,9.2884,0.0,171.45,232.87,1598.6355,4282.403335797375,0.03996588792478085,0,25.0213,40000,16,64,64,timestamp_ttft,9.2884,119
Decode,1100,141.6543,9.2884,0.13827,102.1,205.48,14464.4725,462.64752161842955,0.2207103354646169,65536,4.5308,40000,16,64,64,timestamp_ttft,9.2884,1860
