workload,input_tokens_target,output_tokens_target,frequency_mhz,slo_s,duration_s,ttft_s,tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,tpj,input_tokens_actual,output_tokens_actual,slo_met_rate
LL,1024,512,750,8.0,18.30626666666667,0.5483333333333333,0.034688666666666666,84.80333333333333,108.38,1554.2232333333334,83.96,1.0111999999999999,0.9889193333333334,1025.0,512.0,0.0
LL,1024,512,800,8.0,16.375566666666668,0.5151666666666667,0.030997666666666663,89.10333333333334,110.66333333333334,1460.9723666666669,93.86333333333334,0.9505333333333333,1.0520393333333333,1025.0,512.0,0.0
LL,1024,512,850,8.0,15.6505,0.48386666666666667,0.029645,91.13333333333333,115.16333333333334,1428.1265333333333,98.21,0.9291333333333333,1.076236,1025.0,512.0,0.0
LL,1024,512,900,8.0,14.677666666666667,0.4596,0.027783333333333337,95.31,118.24000000000001,1400.9324333333334,104.71666666666665,0.9114666666666666,1.0971273333333336,1025.0,512.0,0.0
LL,1024,512,950,8.0,14.246366666666667,0.4350333333333333,0.026984666666666667,97.69333333333333,124.88333333333333,1393.771,107.88666666666666,0.9068,1.1027683333333334,1025.0,512.0,0.0
LL,1024,512,1000,8.0,13.946633333333333,0.4104666666666667,0.026463,102.01333333333332,133.54333333333332,1424.8721999999998,110.20666666666666,0.9270666666666667,1.0786953333333333,1025.0,512.0,0.0
LL,1024,512,1050,8.0,13.7829,0.3941666666666667,0.026161,104.77,140.67666666666665,1446.2403000000002,111.51333333333332,0.9409666666666666,1.0627570000000002,1025.0,512.0,0.0
LL,1024,512,1100,8.0,13.548733333333333,0.3789666666666667,0.025735666666666667,110.73333333333333,153.1966666666667,1502.6381000000001,113.44333333333333,0.9776666666666666,1.0228703333333333,1025.0,512.0,0.0
LL,1024,512,1150,8.0,13.3175,0.3602,0.025334333333333334,117.29,169.10333333333332,1564.4772666666668,115.41000000000001,1.0178666666666667,0.9824383333333334,1025.0,512.0,0.0
LL,1024,512,1200,8.0,13.134933333333334,0.3475333333333333,0.024992666666666667,121.73666666666666,176.79,1601.5195999999999,117.01333333333334,1.0419666666666665,0.959715,1025.0,512.0,0.0
LL,1024,512,1250,8.0,12.992666666666667,0.3356666666666667,0.024737,128.70666666666668,198.03666666666666,1674.9481666666668,118.29666666666667,1.0897666666666668,0.9176446666666666,1025.0,512.0,0.0
LL,1024,512,1300,8.0,12.813333333333333,0.3222333333333333,0.024428333333333333,142.89,218.46,1833.8628666666666,119.95,1.1931666666666667,0.838168,1025.0,512.0,0.0
LS,1024,64,750,8.0,2.717166666666667,0.5483333333333333,0.033954333333333336,86.47333333333334,109.05333333333333,236.7716333333333,400.78999999999996,0.21743333333333334,4.599438333333333,1025.0,64.0,1.0
